Name,Enabled,DNSHostName,DistinguishedName,System,LastLogonDate,Laps,LapsExpirationDays,LapsExpirationTime
SRASRV-DC1,TRUE,SRASRV-DC1.sra.org.sz,"CN=SRASRV-DC1,OU=Domain Controllers,DC=sra,DC=org,DC=sz",Windows Server 2008 R2 Enterprise,2022/10/31 02:47,FALSE,,
SRASRV-DC2,TRUE,SRASRV-DC2.sra.org.sz,"CN=SRASRV-DC2,OU=Domain Controllers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/26 09:50,FALSE,,
SRASRV-DC01,TRUE,SRASRV-DC01.sra.org.sz,"CN=SRASRV-DC01,OU=Domain Controllers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/30 06:51,FALSE,,
SRASRV-DRM1,TRUE,SRASRV-DRM1.sra.org.sz,"CN=SRASRV-DRM1,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/03 17:28,FALSE,,
SRASRV-BAK1,TRUE,srasrv-bak1.sra.org.sz,"CN=SRASRV-BAK1,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2019 Standard,2021/12/01 22:27,FALSE,,
SRASRV-SPLUNK,TRUE,srasrv-splunk.sra.org.sz,"CN=SRASRV-SPLUNK,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/31 16:44,FALSE,,
SRASRV-DIRECTX,TRUE,SRASRV-DIRECTX.sra.org.sz,"CN=SRASRV-DIRECTX,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/05/04 15:37,FALSE,,
SRASRV-LYNC00,TRUE,SRASRV-LYNC00.sra.org.sz,"CN=SRASRV-LYNC00,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/02 05:13,FALSE,,
SRASRV-SCCM2012,TRUE,SRASRV-SCCM2012.sra.org.sz,"CN=SRASRV-SCCM2012,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2019 Standard,2022/10/26 01:43,FALSE,,
SRASRV-ELEARN,TRUE,SRASRV-ELEARN.sra.org.sz,"CN=SRASRV-ELEARN,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/11/02 07:29,FALSE,,
SRASRV-LYNC02,TRUE,SRASRV-LYNC02.sra.org.sz,"CN=SRASRV-LYNC02,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 Datacenter,2022/10/26 12:06,FALSE,,
SRASRV-DEV1,TRUE,SRASRV-DEV1.sra.org.sz,"CN=SRASRV-DEV1,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/02 20:24,FALSE,,
SRASRV-MOSS2013,TRUE,SRASRV-MOSS2013.sra.org.sz,"CN=SRASRV-MOSS2013,OU=SQL,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/25 11:07,FALSE,,
SRASRV-CFGMNGR,TRUE,SRASRV-CFGMNGR.sra.org.sz,"CN=SRASRV-CFGMNGR,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2019 Standard,2022/10/27 05:11,FALSE,,
SRASRV-MWDEV,TRUE,SRASRV-MWDEV.sra.org.sz,"CN=SRASRV-MWDEV,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/30 22:52,FALSE,,
SRASRV-MWQA,TRUE,SRASRV-MWQA.sra.org.sz,"CN=SRASRV-MWQA,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/31 23:38,FALSE,,
SRASRV-MW1,TRUE,SRASRV-MW1.sra.org.sz,"CN=SRASRV-MW1,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/02 00:40,FALSE,,
SRASRV-SCSM2016,TRUE,srasrv-scsm2016.sra.org.sz,"CN=SRASRV-SCSM2016,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2019 Standard,2022/10/29 23:43,FALSE,,
SRASRV-LYNCEDG1,TRUE,SRASRV-LYNCEDG1.sra.org.sz,"CN=SRASRV-LYNCEDG1,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/04 03:47,FALSE,,
SRASRV-FILE01,TRUE,SRASRV-FILE01.sra.org.sz,"CN=SRASRV-FILE01,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/11/02 17:38,FALSE,,
SRASRV-EXCH2,TRUE,SRASRV-EXCH2.sra.org.sz,"CN=SRASRV-EXCH2,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/31 13:18,FALSE,,
WKS-HQ-2452,TRUE,WKS-HQ-2452.sra.org.sz,"CN=WKS-HQ-2452,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/29 14:34,FALSE,,
SRASRV-ERM,TRUE,SRASRV-ERM.sra.org.sz,"CN=SRASRV-ERM,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/28 03:46,FALSE,,
SRASRV-DRMDEVDB,TRUE,SRASRV-DRMDEVDB.sra.org.sz,"CN=SRASRV-DRMDEVDB,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/26 08:45,FALSE,,
SRASRV-DRMQACM,TRUE,SRASRV-DRMQACM.sra.org.sz,"CN=SRASRV-DRMQACM,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/02 03:07,FALSE,,
WKS-HQ-2195,FALSE,WKS-HQ-2195.sra.org.sz,"CN=WKS-HQ-2195,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/08/23 08:53,FALSE,,
WKS-HQ-2292,TRUE,WKS-HQ-2292.sra.org.sz,"CN=WKS-HQ-2292,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/19 14:45,TRUE,14,2022/11/18 14:48
WKS-HQ-2192,TRUE,WKS-HQ-2192.sra.org.sz,"CN=WKS-HQ-2192,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/07/17 13:48,TRUE,-87,2022/08/08 10:04
SRASRV-DRMDEVSH,TRUE,SRASRV-DRMDEVSH.sra.org.sz,"CN=SRASRV-DRMDEVSH,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/03 23:45,FALSE,,
SRASRV-APPS,TRUE,SRASRV-APPS.sra.org.sz,"CN=SRASRV-APPS,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/28 13:02,FALSE,,
SRASRV-DRMDEVPR,TRUE,SRASRV-DRMDEVPR.sra.org.sz,"CN=SRASRV-DRMDEVPR,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/26 08:28,FALSE,,
SRASRV-FIN,TRUE,SRASRV-FIN.sra.org.sz,"CN=SRASRV-FIN,OU=SQL,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/28 17:41,FALSE,,
SRASRV-DRMQANV,TRUE,SRASRV-DRMQANV.sra.org.sz,"CN=SRASRV-DRMQANV,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/02 04:13,FALSE,,
WKS-TRN-2190,TRUE,WKS-TRN-2190.sra.org.sz,"CN=WKS-TRN-2190,OU=Desktops,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/10/17 08:54,TRUE,12,2022/11/16 08:54
WKS-TRN-2437,TRUE,WKS-TRN-2437.sra.org.sz,"CN=WKS-TRN-2437,OU=Training Computers,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 11,2022/09/26 11:04,TRUE,-87,2022/08/08 09:15
WKS-TRN-2450,TRUE,WKS-TRN-2450.sra.org.sz,"CN=WKS-TRN-2450,OU=Training Computers,OU=SRA Head Quarters,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/10/26 14:18,FALSE,,
SRASRV-SCSM2012,TRUE,SRASRV-SCSM2012.sra.org.sz,"CN=SRASRV-SCSM2012,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/25 11:41,FALSE,,
SRASRV-BZTSQL,TRUE,SRASRV-BZTSQL.sra.org.sz,"CN=SRASRV-BZTSQL,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/28 12:37,FALSE,,
SRASRV-DRMQASH,TRUE,SRASRV-DRMQASH.sra.org.sz,"CN=SRASRV-DRMQASH,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/25 16:32,FALSE,,
WKS-NGW-2453,TRUE,WKS-NGW-2453.sra.org.sz,"CN=WKS-NGW-2453,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 2004,2022/07/15 12:18,TRUE,-46,2022/09/18 12:04
SRASRV-DRMQAPR,TRUE,SRASRV-DRMQAPR.sra.org.sz,"CN=SRASRV-DRMQAPR,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/03 02:02,FALSE,,
SRASRV-DRMPRDPR,TRUE,SRASRV-DRMPRDPR.sra.org.sz,"CN=SRASRV-DRMPRDPR,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/27 17:37,FALSE,,
SRASRV-DW,TRUE,SRASRV-DW.sra.org.sz,"CN=SRASRV-DW,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/11/02 18:18,FALSE,,
WKS-NGW-2708,TRUE,WKS-NGW-2708.sra.org.sz,"CN=WKS-NGW-2708,OU=Computers,OU=Ngwenya_border,DC=sra,DC=org,DC=sz",Windows 10 21H2,2022/10/03 13:17,FALSE,,
SRASRV-FINTEST,TRUE,SRASRV-FINTEST.sra.org.sz,"CN=SRASRV-FINTEST,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2016 Standard,2022/10/27 19:31,FALSE,,
SRASRV-DRMPRDNV,TRUE,SRASRV-DRMPRDNV.sra.org.sz,"CN=SRASRV-DRMPRDNV,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/27 09:27,FALSE,,
SRASRV-DRMPRDSH,TRUE,SRASRV-DRMPRDSH.sra.org.sz,"CN=SRASRV-DRMPRDSH,OU=HQ,OU=Servers,DC=sra,DC=org,DC=sz",Windows Server 2012 R2 Standard,2022/10/28 14:38,FALSE,,
